CustomerID,Cluster
C0001,4
C0002,1
C0003,3
C0004,0
C0005,3
C0006,2
C0007,3
C0008,4
C0009,1
C0010,1
C0011,4
C0012,0
C0013,0
C0014,1
C0015,1
C0016,4
C0017,4
C0018,2
C0019,4
C0020,3
C0021,0
C0022,4
C0023,0
C0024,4
C0025,1
C0026,2
C0027,3
C0028,0
C0029,1
C0030,4
C0031,1
C0032,1
C0033,1
C0034,4
C0035,3
C0036,3
C0037,2
C0038,4
C0039,4
C0040,2
C0041,0
C0042,3
C0043,1
C0044,2
C0045,0
C0046,0
C0047,4
C0048,4
C0049,4
C0050,2
C0051,0
C0052,3
C0053,0
C0054,0
C0055,4
C0056,4
C0057,4
C0058,1
C0059,0
C0060,1
C0061,3
C0062,1
C0063,3
C0064,4
C0065,0
C0066,2
C0067,4
C0068,0
C0069,4
C0070,3
C0071,1
C0072,4
C0073,3
C0074,2
C0075,0
C0076,4
C0077,1
C0078,3
C0079,2
C0080,3
C0081,4
C0082,0
C0083,1
C0084,4
C0085,3
C0086,4
C0087,0
C0088,1
C0089,2
C0090,4
C0091,4
C0092,3
C0093,0
C0094,1
C0095,3
C0096,2
C0097,1
C0098,4
C0099,0
C0100,0
C0101,0
C0102,0
C0103,4
C0104,0
C0105,4
C0106,4
C0107,4
C0108,4
C0109,0
C0110,3
C0111,1
C0112,3
C0113,4
C0114,2
C0115,2
C0116,4
C0117,2
C0118,4
C0119,1
C0120,3
C0121,1
C0122,0
C0123,3
C0124,4
C0125,3
C0126,4
C0127,4
C0128,1
C0129,3
C0130,1
C0131,3
C0132,3
C0133,3
C0134,4
C0135,3
C0136,4
C0137,4
C0138,2
C0139,4
C0140,3
C0141,0
C0142,3
C0143,0
C0144,3
C0145,0
C0146,3
C0147,4
C0148,2
C0149,2
C0150,1
C0151,1
C0152,4
C0153,4
C0154,4
C0155,0
C0156,0
C0157,1
C0158,2
C0159,3
C0160,4
C0161,4
C0162,4
C0163,0
C0164,4
C0165,0
C0166,3
C0167,3
C0168,2
C0169,4
C0170,2
C0171,2
C0172,4
C0173,0
C0174,4
C0175,0
C0176,3
C0177,3
C0178,3
C0179,4
C0181,4
C0182,2
C0183,4
C0184,4
C0185,2
C0186,3
C0187,2
C0188,0
C0189,4
C0190,4
C0191,4
C0192,1
C0193,3
C0194,4
C0195,4
C0196,2
C0197,3
C0198,1
C0199,1
C0200,2
